ID,SEX,Age_8th,IQ_1st,Attention_mean_3Y,CE_1st,CE_5th,Math_ach_7th,FNL_accuracy_0_5_8th,FNL_accuracy_0_5_9th,NL_accuracy_0_100_1st,NL_accuracy_0_1000_6th,Fract_Add_7th,Fract_concept_7th,Numset_1st,Numset_6th
104,0,170,77,4.187,34,53.001,27,0.335,0.489,0.109,0.055,5,8,0.023,0.2
110,1,170,100,4.853,38,59.001,29,0.12,0.065,0.064,0.055,10,16,0.16,0.29
111,1,168,106,4.223,55,68.001,28,0.143,0.067,0.088,0.037,0,15,0.077,0.2
113,1,176,109,4.89,49,51.999,29,0.078,0.084,0.045,0.028,7,16,0.12,0.25
114,0,165,88,3.077,13,42.999,21,0.265,0.3,0.319,0.059,2,11,0.003,0.22
118,0,165,105,4.61,34,45,29,0.168,0.113,0.14,0.048,6,12,0.137,0.32
119,0,166,104,4.777,32,54,28,0.11,0.111,0.159,0.051,9,16,0.077,0.25
120,1,177,86,2.187,17,33,22,0.398,0.396,0.216,0.079,4,14,0.063,0.17
121,0,167,74,3.887,22,44.001,23,0.306,0.313,0.326,0.039,7,8,0.053,0.17
122,1,172,84,4.11,33,42,21,0.091,0.09,0.114,0.046,1,16,0.113,0.22
123,1,175,81,5.297,27,44.001,42,0.055,0.071,0.097,0.023,8,16,0.083,0.26
125,1,176,91,3.39,21,36,22,0.319,0.47,0.267,0.094,2,13,0.057,0.18
127,0,167,88,5.963,31,60,35,0.224,0.182,0.28,0.028,0,16,0.08,0.26
128,1,173,114,4.63,40,54.999,38,0.103,0.079,0.083,0.041,12,16,0.19,0.33
130,1,170,108,3.775,34,51.999,23,0.133,0.082,0.149,0.056,6,16,0.107,0.23
132,0,172,100,6.223,49,53.001,36,0.137,0.114,0.116,0.036,0,15,0.14,0.33
135,0,166,96,3.183,23,33,16,0.458,0.258,0.149,0.041,0,16,0.09,0.21
140,1,172,134,5.963,34,44.001,50,0.05,0.051,0.058,0.018,10,16,0.193,0.34
142,1,168,81,4.835,36,48.999,38,0.055,0.046,0.149,0.033,4,16,0.1,0.26
150,1,169,101,3.073,26,44.001,25,0.157,0.1,0.087,0.03,4,13,0.14,0.3
162,1,173,100,4.89,40,41.001,29,0.07,0.045,0.064,0.066,6,15,0.143,0.29
163,0,171,90,4.407,21,41.001,21,0.119,0.136,0.262,0.035,0,16,0.063,0.26
173,0,174,93,6.52,49,50.001,25,0.381,0.304,0.059,0.044,8,15,0.16,0.35
177,1,172,88,5.78,26,45,24,0.212,0.133,0.158,0.031,8,10,0.073,0.21
180,1,168,101,5.04,38,53.001,39,0.028,0.173,0.098,0.035,12,16,0.14,0.27
182,1,172,149,5.593,59,69,47,0.032,0.068,0.068,0.034,7,16,0.117,0.27
184,1,173,112,5.407,35,66,35,0.066,0.049,0.082,0.065,5,16,0.14,0.33
185,0,167,90,3.615,27,44.001,24,0.171,0.303,0.111,0.052,2,9,0.063,0.19
186,1,170,135,7,38,77.001,48,0.027,0.036,0.06,0.023,11,16,0.15,0.37
189,1,174,104,5.555,41,45.999,30,0.067,0.055,0.076,0.046,3,16,0.083,0.23
192,1,175,91,5.74,37,59.001,36,0.186,0.052,0.114,0.048,2,15,0.103,0.25
196,0,164,121,4.61,43,59.001,29,0.139,0.193,0.249,0.097,4,15,0.083,0.23
197,0,171,91,6.5,33,38.001,28,0.069,0.085,0.252,0.065,10,16,0.08,0.28
198,1,167,82,3.78,17,38.001,17,0.339,0.272,0.207,0.046,6,14,0.083,0.22
